CURRENCY,CODE,IS_RATE,BS_RATE,DATE,RAW_INGESTION_TS,INGESTION_TS
Dominican Republic Peso,DOP,0.022599,0.022599,2026-02-28,2026-03-23T13:45:46.652355Z,2026-09-03T15:55:03.852587Z
Egyptian Pound,EGP,0.028443,0.028443,2026-02-28,2026-03-23T13:45:46.652355Z,2026-09-03T15:55:03.852587Z
European Monetary Unit,EUR,1.610298,1.610298,2026-02-28,2026-03-23T13:45:46.652355Z,2026-09-03T15:55:03.852587Z
Pound Sterling,GBP,1.833628,1.833628,2026-02-28,2026-03-23T13:45:46.652355Z,2026-09-03T15:55:03.852587Z
Guyana Dollar,GYD,0.006514,0.006514,2026-02-28,2026-03-23T13:45:46.652355Z,2026-09-03T15:55:03.852587Z
Hong Kong Dollar,HKD,0.174357,0.174357,2026-02-28,2026-03-23T13:45:46.652355Z,2026-09-03T15:55:03.852587Z
Haitian Gourde,HTG,0.010429,0.010429,2026-02-28,2026-03-23T13:45:46.652355Z,2026-09-03T15:55:03.852587Z
Hungarian Forint,HUF,0.004273,0.004273,2026-02-28,2026-03-23T13:45:46.652355Z,2026-09-03T15:55:03.852587Z
Indonesian Rupiah,IDR,0.000081,0.000081,2026-02-28,2026-03-23T13:45:46.652355Z,2026-09-03T15:55:03.852587Z
Israeli Shekel,ILS,0.434991,0.434991,2026-02-28,2026-03-23T13:45:46.652355Z,2026-09-03T15:55:03.852587Z
Indian Rupees,INR,0.014991,0.014991,2026-02-28,2026-03-23T13:45:46.652355Z,2026-09-03T15:55:03.852587Z
Jamaican Dollar,JMD,0.008719,0.008719,2026-02-28,2026-03-23T13:45:46.652355Z,2026-09-03T15:55:03.852587Z
Jordan Dinar,JOD,1.923624,1.923624,2026-02-28,2026-03-23T13:45:46.652355Z,2026-09-03T15:55:03.852587Z
Japanese Yen,JPY,0.008736,0.008736,2026-02-28,2026-03-23T13:45:46.652355Z,2026-09-03T15:55:03.852587Z
Kenya Shilling,KES,0.010572,0.010572,2026-02-28,2026-03-23T13:45:46.652355Z,2026-09-03T15:55:03.852587Z
Cambodia Riel,KHR,0.00034,0.00034,2026-02-28,2026-03-23T13:45:46.652355Z,2026-09-03T15:55:03.852587Z
South Korean Won,KRW,0.000948,0.000948,2026-02-28,2026-03-23T13:45:46.652355Z,2026-09-03T15:55:03.852587Z
Kuwait Dinar,KWD,4.445413,4.445413,2026-02-28,2026-03-23T13:45:46.652355Z,2026-09-03T15:55:03.852587Z
Cayman Island Dollar,KYD,1.663232,1.663232,2026-02-28,2026-03-23T13:45:46.652355Z,2026-09-03T15:55:03.852587Z
Sri Lanka Rupee,LKR,0.00441,0.00441,2026-02-28,2026-03-23T13:45:46.652355Z,2026-09-03T15:55:03.852587Z
Myanmar Kyat,MMK,0.000649,0.000649,2026-02-28,2026-03-23T13:45:46.652355Z,2026-09-03T15:55:03.852587Z
Macau Pataca,MOP,0.169278,0.169278,2026-02-28,2026-03-23T13:45:46.652355Z,2026-09-03T15:55:03.852587Z
Mexican Peso,MXN,0.079266,0.079266,2026-02-28,2026-03-23T13:45:46.652355Z,2026-09-03T15:55:03.852587Z
Malaysian Ringgit,MYR,0.350514,0.350514,2026-02-28,2026-03-23T13:45:46.652355Z,2026-09-03T15:55:03.852587Z
Norwegian Krone,NOK,0.143361,0.143361,2026-02-28,2026-03-23T13:45:46.652355Z,2026-09-03T15:55:03.852587Z
New Zealand Dollar,NZD,0.818378,0.818378,2026-02-28,2026-03-23T13:45:46.652355Z,2026-09-03T15:55:03.852587Z
Panamanian Balboa,PAB,1.363851,1.363851,2026-02-28,2026-03-23T13:45:46.652355Z,2026-09-03T15:55:03.852587Z
Philippine Peso,PHP,0.023651,0.023651,2026-02-28,2026-03-23T13:45:46.652355Z,2026-09-03T15:55:03.852587Z
Polish Zloty,PLN,0.381747,0.381747,2026-02-28,2026-03-23T13:45:46.652355Z,2026-09-03T15:55:03.852587Z
Romanian Leu,RON,0.3159,0.3159,2026-02-28,2026-03-23T13:45:46.652355Z,2026-09-03T15:55:03.852587Z
Swedish Krona,SEK,0.151159,0.151159,2026-02-28,2026-03-23T13:45:46.652355Z,2026-09-03T15:55:03.852587Z
Singapore Dollar,SGD,1.078271,1.078271,2026-02-28,2026-03-23T13:45:46.652355Z,2026-09-03T15:55:03.852587Z
Suriname Dollar,SRD,0.036155,0.036155,2026-02-28,2026-03-23T13:45:46.652355Z,2026-09-03T15:55:03.852587Z
Thai Baht,THB,0.043875,0.043875,2026-02-28,2026-03-23T13:45:46.652355Z,2026-09-03T15:55:03.852587Z
Trinidad and Tobago Dollar,TTD,0.202768,0.202768,2026-02-28,2026-03-23T13:45:46.652355Z,2026-09-03T15:55:03.852587Z
New Taiwan Dollar,TWD,0.043698,0.043698,2026-02-28,2026-03-23T13:45:46.652355Z,2026-09-03T15:55:03.852587Z
Tanzanian Shilling,TZS,0.000534,0.000534,2026-02-28,2026-03-23T13:45:46.652355Z,2026-09-03T15:55:03.852587Z
Uganda Shilling,UGX,0.000378,0.000378,2026-02-28,2026-03-23T13:45:46.652355Z,2026-09-03T15:55:03.852587Z
U.S.Dollar,USD,1.363851,1.363851,2026-02-28,2026-03-23T13:45:46.652355Z,2026-09-03T15:55:03.852587Z
Uruguayan Peso,UYU,0.035466,0.035466,2026-02-28,2026-03-23T13:45:46.652355Z,2026-09-03T15:55:03.852587Z
Vietnamese Dong,VND,0.000052,0.000052,2026-02-28,2026-03-23T13:45:46.652355Z,2026-09-03T15:55:03.852587Z
East Caribbean Dollar,XCD,0.50513,0.50513,2026-02-28,2026-03-23T13:45:46.652355Z,2026-09-03T15:55:03.852587Z
South African Rand,ZAR,0.085682,0.085682,2026-02-28,2026-03-23T13:45:46.652355Z,2026-09-03T15:55:03.852587Z
Zambian Kwacha,ZMW,0.072432,0.072432,2026-02-28,2026-03-23T13:45:46.652355Z,2026-09-03T15:55:03.852587Z
Zimbabwe Gold,ZWG,0.052917,0.052917,2026-02-28,2026-03-23T13:45:46.652355Z,2026-09-03T15:55:03.852587Z
United Arab Emirates Dirham,AED,0.370579,0.370579,2026-04-30,2026-05-01T09:07:54.551482Z,2026-09-03T15:55:03.852587Z
Netherlands Antilles Guilder,ANG,0.760391,0.760391,2026-04-30,2026-05-01T09:07:54.551482Z,2026-09-03T15:55:03.852587Z
Argentine Peso,ARS,0.000987,0.000987,2026-04-30,2026-05-01T09:07:54.551482Z,2026-09-03T15:55:03.852587Z
Australian Dollar,AUD,0.978563,0.978563,2026-04-30,2026-05-01T09:07:54.551482Z,2026-09-03T15:55:03.852587Z
Barbados Dollar,BBD,0.68055,0.68055,2026-04-30,2026-05-01T09:07:54.551482Z,2026-09-03T15:55:03.852587Z
Bermuda Dollar,BMD,1.3611,1.3611,2026-04-30,2026-05-01T09:07:54.551482Z,2026-09-03T15:55:03.852587Z
Brunei Dollar,BND,1.068745,1.068745,2026-04-30,2026-05-01T09:07:54.551482Z,2026-09-03T15:55:03.852587Z
Brazilian Real,BRL,0.273182,0.273182,2026-04-30,2026-05-01T09:07:54.551482Z,2026-09-03T15:55:03.852587Z
Bahamian Dollar,BSD,1.3611,1.3611,2026-04-30,2026-05-01T09:07:54.551482Z,2026-09-03T15:55:03.852587Z
Belize Dollar,BZD,0.68055,0.68055,2026-04-30,2026-05-01T09:07:54.551482Z,2026-09-03T15:55:03.852587Z
Swiss Franc,CHF,1.740426,1.740426,2026-04-30,2026-05-01T09:07:54.551482Z,2026-09-03T15:55:03.852587Z
Chilean Peso,CLP,0.001507,0.001507,2026-04-30,2026-05-01T09:07:54.551482Z,2026-09-03T15:55:03.852587Z
Chinese Renminbi (Offshore),CNH,0.199214,0.199214,2026-04-30,2026-05-01T09:07:54.551482Z,2026-09-03T15:55:03.852587Z
Chinese Yuan Renminbi,CNY,0.199176,0.199176,2026-04-30,2026-05-01T09:07:54.551482Z,2026-09-03T15:55:03.852587Z
Columbian Peso,COP,0.000375,0.000375,2026-04-30,2026-05-01T09:07:54.551482Z,2026-09-03T15:55:03.852587Z
Cuban Peso,CUP,0.056713,0.056713,2026-04-30,2026-05-01T09:07:54.551482Z,2026-09-03T15:55:03.852587Z
Czech Koruna,CZK,0.065519,0.065519,2026-04-30,2026-05-01T09:07:54.551482Z,2026-09-03T15:55:03.852587Z
Danish Krone,DKK,0.21367,0.21367,2026-04-30,2026-05-01T09:07:54.551482Z,2026-09-03T15:55:03.852587Z
Dominican Republic Peso,DOP,0.022924,0.022924,2026-04-30,2026-05-01T09:07:54.551482Z,2026-09-03T15:55:03.852587Z
Egyptian Pound,EGP,0.025384,0.025384,2026-04-30,2026-05-01T09:07:54.551482Z,2026-09-03T15:55:03.852587Z
European Monetary Unit,EUR,1.596638,1.596638,2026-04-30,2026-05-01T09:07:54.551482Z,2026-09-03T15:55:03.852587Z
Pound Sterling,GBP,1.849533,1.849533,2026-04-30,2026-05-01T09:07:54.551482Z,2026-09-03T15:55:03.852587Z
Guyana Dollar,GYD,0.006493,0.006493,2026-04-30,2026-05-01T09:07:54.551482Z,2026-09-03T15:55:03.852587Z
Hong Kong Dollar,HKD,0.173748,0.173748,2026-04-30,2026-05-01T09:07:54.551482Z,2026-09-03T15:55:03.852587Z
Haitian Gourde,HTG,0.01043,0.01043,2026-04-30,2026-05-01T09:07:54.551482Z,2026-09-03T15:55:03.852587Z
Hungarian Forint,HUF,0.00438,0.00438,2026-04-30,2026-05-01T09:07:54.551482Z,2026-09-03T15:55:03.852587Z
Indonesian Rupiah,IDR,0.000079,0.000079,2026-04-30,2026-05-01T09:07:54.551482Z,2026-09-03T15:55:03.852587Z
Israeli Shekel,ILS,0.461054,0.461054,2026-04-30,2026-05-01T09:07:54.551482Z,2026-09-03T15:55:03.852587Z
Indian Rupees,INR,0.01434,0.01434,2026-04-30,2026-05-01T09:07:54.551482Z,2026-09-03T15:55:03.852587Z
Jamaican Dollar,JMD,0.008659,0.008659,2026-04-30,2026-05-01T09:07:54.551482Z,2026-09-03T15:55:03.852587Z
Jordan Dinar,JOD,1.919747,1.919747,2026-04-30,2026-05-01T09:07:54.551482Z,2026-09-03T15:55:03.852587Z
Japanese Yen,JPY,0.008686,0.008686,2026-04-30,2026-05-01T09:07:54.551482Z,2026-09-03T15:55:03.852587Z
Kenya Shilling,KES,0.010539,0.010539,2026-04-30,2026-05-01T09:07:54.551482Z,2026-09-03T15:55:03.852587Z
Cambodia Riel,KHR,0.000339,0.000339,2026-04-30,2026-05-01T09:07:54.551482Z,2026-09-03T15:55:03.852587Z
South Korean Won,KRW,0.000918,0.000918,2026-04-30,2026-05-01T09:07:54.551482Z,2026-09-03T15:55:03.852587Z
Kuwait Dinar,KWD,4.426346,4.426346,2026-04-30,2026-05-01T09:07:54.551482Z,2026-09-03T15:55:03.852587Z
Cayman Island Dollar,KYD,1.659878,1.659878,2026-04-30,2026-05-01T09:07:54.551482Z,2026-09-03T15:55:03.852587Z
Sri Lanka Rupee,LKR,0.004259,0.004259,2026-04-30,2026-05-01T09:07:54.551482Z,2026-09-03T15:55:03.852587Z
Myanmar Kyat,MMK,0.000651,0.000651,2026-04-30,2026-05-01T09:07:54.551482Z,2026-09-03T15:55:03.852587Z
Macau Pataca,MOP,0.168688,0.168688,2026-04-30,2026-05-01T09:07:54.551482Z,2026-09-03T15:55:03.852587Z
Mexican Peso,MXN,0.077724,0.077724,2026-04-30,2026-05-01T09:07:54.551482Z,2026-09-03T15:55:03.852587Z
Malaysian Ringgit,MYR,0.342717,0.342717,2026-04-30,2026-05-01T09:07:54.551482Z,2026-09-03T15:55:03.852587Z
Norwegian Krone,NOK,0.146314,0.146314,2026-04-30,2026-05-01T09:07:54.551482Z,2026-09-03T15:55:03.852587Z
New Zealand Dollar,NZD,0.801348,0.801348,2026-04-30,2026-05-01T09:07:54.551482Z,2026-09-03T15:55:03.852587Z
Panamanian Balboa,PAB,1.3611,1.3611,2026-04-30,2026-05-01T09:07:54.551482Z,2026-09-03T15:55:03.852587Z
Philippine Peso,PHP,0.022141,0.022141,2026-04-30,2026-05-01T09:07:54.551482Z,2026-09-03T15:55:03.852587Z
Polish Zloty,PLN,0.375021,0.375021,2026-04-30,2026-05-01T09:07:54.551482Z,2026-09-03T15:55:03.852587Z
Romanian Leu,RON,0.307506,0.307506,2026-04-30,2026-05-01T09:07:54.551482Z,2026-09-03T15:55:03.852587Z
Swedish Krona,SEK,0.147116,0.147116,2026-04-30,2026-05-01T09:07:54.551482Z,2026-09-03T15:55:03.852587Z
Singapore Dollar,SGD,1.068745,1.068745,2026-04-30,2026-05-01T09:07:54.551482Z,2026-09-03T15:55:03.852587Z
Suriname Dollar,SRD,0.036231,0.036231,2026-04-30,2026-05-01T09:07:54.551482Z,2026-09-03T15:55:03.852587Z
Thai Baht,THB,0.041755,0.041755,2026-04-30,2026-05-01T09:07:54.551482Z,2026-09-03T15:55:03.852587Z
Trinidad and Tobago Dollar,TTD,0.200832,0.200832,2026-04-30,2026-05-01T09:07:54.551482Z,2026-09-03T15:55:03.852587Z
New Taiwan Dollar,TWD,0.042958,0.042958,2026-04-30,2026-05-01T09:07:54.551482Z,2026-09-03T15:55:03.852587Z
Tanzanian Shilling,TZS,0.000522,0.000522,2026-04-30,2026-05-01T09:07:54.551482Z,2026-09-03T15:55:03.852587Z
Uganda Shilling,UGX,0.000361,0.000361,2026-04-30,2026-05-01T09:07:54.551482Z,2026-09-03T15:55:03.852587Z
U.S.Dollar,USD,1.3611,1.3611,2026-04-30,2026-05-01T09:07:54.551482Z,2026-09-03T15:55:03.852587Z
Uruguayan Peso,UYU,0.03377,0.03377,2026-04-30,2026-05-01T09:07:54.551482Z,2026-09-03T15:55:03.852587Z
Vietnamese Dong,VND,0.000052,0.000052,2026-04-30,2026-05-01T09:07:54.551482Z,2026-09-03T15:55:03.852587Z
East Caribbean Dollar,XCD,0.504111,0.504111,2026-04-30,2026-05-01T09:07:54.551482Z,2026-09-03T15:55:03.852587Z
South African Rand,ZAR,0.081503,0.081503,2026-04-30,2026-05-01T09:07:54.551482Z,2026-09-03T15:55:03.852587Z
Zambian Kwacha,ZMW,0.072884,0.072884,2026-04-30,2026-05-01T09:07:54.551482Z,2026-09-03T15:55:03.852587Z
Zimbabwe Gold,ZWG,0.052656,0.052656,2026-04-30,2026-05-01T09:07:54.551482Z,2026-09-03T15:55:03.852587Z
United Arab Emirates Dirham,AED,0.376807,0.386291,2026-06-30,2026-07-01T09:03:12.593604Z,2026-09-03T15:55:03.852587Z
Netherlands Antilles Guilder,ANG,0.773172,0.792598,2026-06-30,2026-07-01T09:03:12.593604Z,2026-09-03T15:55:03.852587Z
Argentine Peso,ARS,0.000982,0.000958,2026-06-30,2026-07-01T09:03:12.593604Z,2026-09-03T15:55:03.852587Z
Australian Dollar,AUD,0.98264,0.98291,2026-06-30,2026-07-01T09:03:12.593604Z,2026-09-03T15:55:03.852587Z
Barbados Dollar,BBD,0.691988,0.709375,2026-06-30,2026-07-01T09:03:12.593604Z,2026-09-03T15:55:03.852587Z
Bermuda Dollar,BMD,1.383982,1.41875,2026-06-30,2026-07-01T09:03:12.593604Z,2026-09-03T15:55:03.852587Z
Brunei Dollar,BND,1.081475,1.096872,2026-06-30,2026-07-01T09:03:12.593604Z,2026-09-03T15:55:03.852587Z
Brazilian Real,BRL,0.274084,0.274104,2026-06-30,2026-07-01T09:03:12.593604Z,2026-09-03T15:55:03.852587Z
Bahamian Dollar,BSD,1.383982,1.41875,2026-06-30,2026-07-01T09:03:12.593604Z,2026-09-03T15:55:03.852587Z
Belize Dollar,BZD,0.691988,0.709375,2026-06-30,2026-07-01T09:03:12.593604Z,2026-09-03T15:55:03.852587Z
Swiss Franc,CHF,1.751694,1.758817,2026-06-30,2026-07-01T09:03:12.593604Z,2026-09-03T15:55:03.852587Z
Chilean Peso,CLP,0.001537,0.001539,2026-06-30,2026-07-01T09:03:12.593604Z,2026-09-03T15:55:03.852587Z
Chinese Renminbi (Offshore),CNH,0.203347,0.209009,2026-06-30,2026-07-01T09:03:12.593604Z,2026-09-03T15:55:03.852587Z
Chinese Yuan Renminbi,CNY,0.203364,0.209089,2026-06-30,2026-07-01T09:03:12.593604Z,2026-09-03T15:55:03.852587Z
Columbian Peso,COP,0.000384,0.000411,2026-06-30,2026-07-01T09:03:12.593604Z,2026-09-03T15:55:03.852587Z
Cuban Peso,CUP,0.057666,0.059115,2026-06-30,2026-07-01T09:03:12.593604Z,2026-09-03T15:55:03.852587Z
Czech Koruna,CZK,0.066241,0.066841,2026-06-30,2026-07-01T09:03:12.593604Z,2026-09-03T15:55:03.852587Z
Danish Krone,DKK,0.215388,0.217001,2026-06-30,2026-07-01T09:03:12.593604Z,2026-09-03T15:55:03.852587Z
Dominican Republic Peso,DOP,0.023344,0.023801,2026-06-30,2026-07-01T09:03:12.593604Z,2026-09-03T15:55:03.852587Z
Egyptian Pound,EGP,0.026525,0.028842,2026-06-30,2026-07-01T09:03:12.593604Z,2026-09-03T15:55:03.852587Z
European Monetary Unit,EUR,1.609671,1.622057,2026-06-30,2026-07-01T09:03:12.593604Z,2026-09-03T15:55:03.852587Z
Pound Sterling,GBP,1.858339,1.883033,2026-06-30,2026-07-01T09:03:12.593604Z,2026-09-03T15:55:03.852587Z
Guyana Dollar,GYD,0.006617,0.006805,2026-06-30,2026-07-01T09:03:12.593604Z,2026-09-03T15:55:03.852587Z
Hong Kong Dollar,HKD,0.176641,0.180916,2026-06-30,2026-07-01T09:03:12.593604Z,2026-09-03T15:55:03.852587Z
Haitian Gourde,HTG,0.010601,0.010867,2026-06-30,2026-07-01T09:03:12.593604Z,2026-09-03T15:55:03.852587Z
Hungarian Forint,HUF,0.004462,0.004557,2026-06-30,2026-07-01T09:03:12.593604Z,2026-09-03T15:55:03.852587Z
Indonesian Rupiah,IDR,0.000079,0.000079,2026-06-30,2026-07-01T09:03:12.593604Z,2026-09-03T15:55:03.852587Z
Israeli Shekel,ILS,0.468153,0.476178,2026-06-30,2026-07-01T09:03:12.593604Z,2026-09-03T15:55:03.852587Z
Indian Rupees,INR,0.01462,0.014988,2026-06-30,2026-07-01T09:03:12.593604Z,2026-09-03T15:55:03.852587Z
Jamaican Dollar,JMD,0.008779,0.009008,2026-06-30,2026-07-01T09:03:12.593604Z,2026-09-03T15:55:03.852587Z
Jordan Dinar,JOD,1.952084,2.001057,2026-06-30,2026-07-01T09:03:12.593604Z,2026-09-03T15:55:03.852587Z
Japanese Yen,JPY,0.008686,0.008729,2026-06-30,2026-07-01T09:03:12.593604Z,2026-09-03T15:55:03.852587Z
Kenya Shilling,KES,0.010695,0.01096,2026-06-30,2026-07-01T09:03:12.593604Z,2026-09-03T15:55:03.852587Z
Cambodia Riel,KHR,0.000345,0.000353,2026-06-30,2026-07-01T09:03:12.593604Z,2026-09-03T15:55:03.852587Z
South Korean Won,KRW,0.000922,0.000916,2026-06-30,2026-07-01T09:03:12.593604Z,2026-09-03T15:55:03.852587Z
Kuwait Dinar,KWD,4.48521,4.579572,2026-06-30,2026-07-01T09:03:12.593604Z,2026-09-03T15:55:03.852587Z
Cayman Island Dollar,KYD,1.687778,1.730182,2026-06-30,2026-07-01T09:03:12.593604Z,2026-09-03T15:55:03.852587Z
Sri Lanka Rupee,LKR,0.004248,0.004224,2026-06-30,2026-07-01T09:03:12.593604Z,2026-09-03T15:55:03.852587Z
Myanmar Kyat,MMK,0.000659,0.000676,2026-06-30,2026-07-01T09:03:12.593604Z,2026-09-03T15:55:03.852587Z
Macau Pataca,MOP,0.171496,0.175645,2026-06-30,2026-07-01T09:03:12.593604Z,2026-09-03T15:55:03.852587Z
Mexican Peso,MXN,0.079619,0.081193,2026-06-30,2026-07-01T09:03:12.593604Z,2026-09-03T15:55:03.852587Z
Malaysian Ringgit,MYR,0.346035,0.347946,2026-06-30,2026-07-01T09:03:12.593604Z,2026-09-03T15:55:03.852587Z
Norwegian Krone,NOK,0.146757,0.143373,2026-06-30,2026-07-01T09:03:12.593604Z,2026-09-03T15:55:03.852587Z
New Zealand Dollar,NZD,0.808674,0.807056,2026-06-30,2026-07-01T09:03:12.593604Z,2026-09-03T15:55:03.852587Z
Panamanian Balboa,PAB,1.383982,1.41875,2026-06-30,2026-07-01T09:03:12.593604Z,2026-09-03T15:55:03.852587Z
Philippine Peso,PHP,0.022697,0.023118,2026-06-30,2026-07-01T09:03:12.593604Z,2026-09-03T15:55:03.852587Z
Polish Zloty,PLN,0.378779,0.377443,2026-06-30,2026-07-01T09:03:12.593604Z,2026-09-03T15:55:03.852587Z
Romanian Leu,RON,0.310161,0.309629,2026-06-30,2026-07-01T09:03:12.593604Z,2026-09-03T15:55:03.852587Z
Swedish Krona,SEK,0.147869,0.146593,2026-06-30,2026-07-01T09:03:12.593604Z,2026-09-03T15:55:03.852587Z
Singapore Dollar,SGD,1.081475,1.096872,2026-06-30,2026-07-01T09:03:12.593604Z,2026-09-03T15:55:03.852587Z
Suriname Dollar,SRD,0.036992,0.037829,2026-06-30,2026-07-01T09:03:12.593604Z,2026-09-03T15:55:03.852587Z
Thai Baht,THB,0.04249,0.042707,2026-06-30,2026-07-01T09:03:12.593604Z,2026-09-03T15:55:03.852587Z
Trinidad and Tobago Dollar,TTD,0.204851,0.210132,2026-06-30,2026-07-01T09:03:12.593604Z,2026-09-03T15:55:03.852587Z
New Taiwan Dollar,TWD,0.043788,0.044536,2026-06-30,2026-07-01T09:03:12.593604Z,2026-09-03T15:55:03.852587Z
Tanzanian Shilling,TZS,0.00053,0.000538,2026-06-30,2026-07-01T09:03:12.593604Z,2026-09-03T15:55:03.852587Z
Uganda Shilling,UGX,0.000371,0.000387,2026-06-30,2026-07-01T09:03:12.593604Z,2026-09-03T15:55:03.852587Z
U.S.Dollar,USD,1.383982,1.41875,2026-06-30,2026-07-01T09:03:12.593604Z,2026-09-03T15:55:03.852587Z
Uruguayan Peso,UYU,0.034495,0.035297,2026-06-30,2026-07-01T09:03:12.593604Z,2026-09-03T15:55:03.852587Z
Vietnamese Dong,VND,0.000053,0.000054,2026-06-30,2026-07-01T09:03:12.593604Z,2026-09-03T15:55:03.852587Z
East Caribbean Dollar,XCD,0.512584,0.525463,2026-06-30,2026-07-01T09:03:12.593604Z,2026-09-03T15:55:03.852587Z
South African Rand,ZAR,0.084014,0.086562,2026-06-30,2026-07-01T09:03:12.593604Z,2026-09-03T15:55:03.852587Z
Zambian Kwacha,ZMW,0.074489,0.078455,2026-06-30,2026-07-01T09:03:12.593604Z,2026-09-03T15:55:03.852587Z
Zimbabwe Gold,ZWG,0.052787,0.052998,2026-06-30,2026-07-01T09:03:12.593604Z,2026-09-03T15:55:03.852587Z
United Arab Emirates Dirham,AED,0.37744,0.37744,2026-08-31,2026-09-01T09:21:10.828359Z,2026-09-03T15:55:03.852587Z
Netherlands Antilles Guilder,ANG,0.774469,0.774469,2026-08-31,2026-09-01T09:21:10.828359Z,2026-09-03T15:55:03.852587Z
Argentine Peso,ARS,0.000918,0.000918,2026-08-31,2026-09-01T09:21:10.828359Z,2026-09-03T15:55:03.852587Z
Australian Dollar,AUD,0.993492,0.993492,2026-08-31,2026-09-01T09:21:10.828359Z,2026-09-03T15:55:03.852587Z
Barbados Dollar,BBD,0.69315,0.69315,2026-08-31,2026-09-01T09:21:10.828359Z,2026-09-03T15:55:03.852587Z
Bermuda Dollar,BMD,1.386299,1.386299,2026-08-31,2026-09-01T09:21:10.828359Z,2026-09-03T15:55:03.852587Z
Brunei Dollar,BND,1.089902,1.089902,2026-08-31,2026-09-01T09:21:10.828359Z,2026-09-03T15:55:03.852587Z
Brazilian Real,BRL,0.267584,0.267584,2026-08-31,2026-09-01T09:21:10.828359Z,2026-09-03T15:55:03.852587Z
Bahamian Dollar,BSD,1.386299,1.386299,2026-08-31,2026-09-01T09:21:10.828359Z,2026-09-03T15:55:03.852587Z
Belize Dollar,BZD,0.69315,0.69315,2026-08-31,2026-09-01T09:21:10.828359Z,2026-09-03T15:55:03.852587Z
Swiss Franc,CHF,1.715825,1.715825,2026-08-31,2026-09-01T09:21:10.828359Z,2026-09-03T15:55:03.852587Z
Chilean Peso,CLP,0.001485,0.001485,2026-08-31,2026-09-01T09:21:10.828359Z,2026-09-03T15:55:03.852587Z
Chinese Renminbi (Offshore),CNH,0.206356,0.206356,2026-08-31,2026-09-01T09:21:10.828359Z,2026-09-03T15:55:03.852587Z
Chinese Yuan Renminbi,CNY,0.206299,0.206299,2026-08-31,2026-09-01T09:21:10.828359Z,2026-09-03T15:55:03.852587Z
Columbian Peso,COP,0.000431,0.000431,2026-08-31,2026-09-01T09:21:10.828359Z,2026-09-03T15:55:03.852587Z
Cuban Peso,CUP,0.057763,0.057763,2026-08-31,2026-09-01T09:21:10.828359Z,2026-09-03T15:55:03.852587Z
Czech Koruna,CZK,0.066665,0.066665,2026-08-31,2026-09-01T09:21:10.828359Z,2026-09-03T15:55:03.852587Z
Danish Krone,DKK,0.215421,0.215421,2026-08-31,2026-09-01T09:21:10.828359Z,2026-09-03T15:55:03.852587Z
Dominican Republic Peso,DOP,0.023509,0.023509,2026-08-31,2026-09-01T09:21:10.828359Z,2026-09-03T15:55:03.852587Z
Egyptian Pound,EGP,0.027279,0.027279,2026-08-31,2026-09-01T09:21:10.828359Z,2026-09-03T15:55:03.852587Z
European Monetary Unit,EUR,1.610324,1.610324,2026-08-31,2026-09-01T09:21:10.828359Z,2026-09-03T15:55:03.852587Z
Pound Sterling,GBP,1.879544,1.879544,2026-08-31,2026-09-01T09:21:10.828359Z,2026-09-03T15:55:03.852587Z
Guyana Dollar,GYD,0.006649,0.006649,2026-08-31,2026-09-01T09:21:10.828359Z,2026-09-03T15:55:03.852587Z
Hong Kong Dollar,HKD,0.17684,0.17684,2026-08-31,2026-09-01T09:21:10.828359Z,2026-09-03T15:55:03.852587Z
Haitian Gourde,HTG,0.010622,0.010622,2026-08-31,2026-09-01T09:21:10.828359Z,2026-09-03T15:55:03.852587Z
Hungarian Forint,HUF,0.004408,0.004408,2026-08-31,2026-09-01T09:21:10.828359Z,2026-09-03T15:55:03.852587Z
Indonesian Rupiah,IDR,0.000078,0.000078,2026-08-31,2026-09-01T09:21:10.828359Z,2026-09-03T15:55:03.852587Z
Israeli Shekel,ILS,0.462447,0.462447,2026-08-31,2026-09-01T09:21:10.828359Z,2026-09-03T15:55:03.852587Z
Indian Rupees,INR,0.014565,0.014565,2026-08-31,2026-09-01T09:21:10.828359Z,2026-09-03T15:55:03.852587Z
Jamaican Dollar,JMD,0.008802,0.008802,2026-08-31,2026-09-01T09:21:10.828359Z,2026-09-03T15:55:03.852587Z
Jordan Dinar,JOD,1.95529,1.95529,2026-08-31,2026-09-01T09:21:10.828359Z,2026-09-03T15:55:03.852587Z
Japanese Yen,JPY,0.008681,0.008681,2026-08-31,2026-09-01T09:21:10.828359Z,2026-09-03T15:55:03.852587Z
Kenya Shilling,KES,0.010709,0.010709,2026-08-31,2026-09-01T09:21:10.828359Z,2026-09-03T15:55:03.852587Z
Cambodia Riel,KHR,0.000342,0.000342,2026-08-31,2026-09-01T09:21:10.828359Z,2026-09-03T15:55:03.852587Z
South Korean Won,KRW,0.001013,0.001013,2026-08-31,2026-09-01T09:21:10.828359Z,2026-09-03T15:55:03.852587Z
Kuwait Dinar,KWD,4.486417,4.486417,2026-08-31,2026-09-01T09:21:10.828359Z,2026-09-03T15:55:03.852587Z
Cayman Island Dollar,KYD,1.690609,1.690609,2026-08-31,2026-09-01T09:21:10.828359Z,2026-09-03T15:55:03.852587Z
Kazakhstani Tenge,KZT,0.003013,0.003013,2026-08-31,2026-09-01T09:21:10.828359Z,2026-09-03T15:55:03.852587Z
Sri Lanka Rupee,LKR,0.004223,0.004223,2026-08-31,2026-09-01T09:21:10.828359Z,2026-09-03T15:55:03.852587Z
